dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.054,-1.4948550042494149,-2.6761805026561447,1.3710658777204086,2.799969629185151
0.045,-1.5187795029066276,-2.6924353033676,1.4530658899173399,2.758148916356888
0.046,-1.42699082810585,-2.6922302833646645,1.2915664098536457,2.827654701616869
0.047,-1.5555342194087671,-2.695712010804859,1.5346527372639436,2.716593492949683
0.049,-1.6169637369900676,-2.599299722580647,1.5328191382372893,2.6834443213334254
0.053,-1.573760782649013,-2.670095830857772,1.4982422929004946,2.74561432060629
0.049,-1.4610419847929172,-2.638757560839058,1.183243298427663,2.916556247204312
0.046,-1.4582811709685166,-2.6352452476062496,1.257577853656183,2.835948564918583
0.045,-1.548665758934435,-2.7396041578290955,1.6744862522413773,2.6137836645221535
0.052,-1.735989830775834,-2.6483077281405825,1.6028053943833858,2.781492164533031
0.043,-1.4567230759120322,-2.723293761465711,1.4093193698098516,2.7706974675678913
0.049,-1.6063619461002931,-2.663088784939256,1.6155231306330762,2.653927600406473
0.047,-1.6654753946373215,-2.624308549131389,1.7271124082932936,2.562671535475417
0.049,-1.6552158303596491,-2.681286305659787,1.673823018047458,2.6626791179719778
0.048,-1.7484692402503663,-2.662195588954885,1.634755022689536,2.775909806515715
0.05,-1.5394858717040478,-2.735655541584425,1.6013289491508662,2.6738124641376064
0.048,-1.5258775460443905,-2.731494158729955,1.4192280053003175,2.838143699474028
0.045,-1.6030501513828777,-2.6082119672328834,1.4989141758912174,2.7123479427245436
0.047,-1.6129482128975645,-2.718361135922763,1.6893966254640558,2.6419127233562714
0.05,-1.4679996564899924,-2.68631932403456,1.4585982283699577,2.695720752154595
0.046,-1.617288821207355,-2.706604334903114,1.6425181236716984,2.681375032438771
0.052,-1.527102501010772,-2.7779006716323624,1.831587827412012,2.4734153452311225
0.05,-1.5647706433311932,-2.7720377342589133,1.8468097977210254,2.489998579869081
0.045,-1.6583813920053725,-2.7736146810198927,1.9824182573246438,2.4495778157006214
0.046,-1.7654719840655235,-2.71266071671108,1.7926133417241485,2.6855193590524546
0.05,-1.6278392328238536,-2.7900361336857245,1.7500067257646386,2.6678686407449397
0.045,-1.7605260655836419,-2.729979988469225,1.710395456086683,2.7801105979661838
0.049,-1.7601127769462153,-2.7498467197532532,1.9028735528308895,2.607085943868579
0.049,-1.758873744034205,-2.742560332157222,1.8058785242831554,2.6955555519082712
0.047,-1.6711602829057686,-2.7643629462967994,1.7849990080405844,2.6505242211619837
0.052,-1.7896589937615477,-2.638073337353383,1.7786433820267844,2.649088949088146
0.045,-1.6925184232687038,-2.7453067765396204,2.0847452294487634,2.353079970359561
0.045,-1.8721864909925112,-2.5012832428294813,1.9362201382572928,2.4372495955646993
0.053,-1.8877178309205234,-2.5422385206912237,2.0025321321266722,2.427424219485075
0.045,-1.8661404225474483,-2.5837633392170094,1.9018471231752858,2.548056638589172
0.047,-1.8990825047195568,-2.5347535486599244,2.0642622792635064,2.369573774115975
0.051,-1.793995658374266,-2.5745971424365552,2.116095935594638,2.2524968652161834
0.049,-1.874602803840924,-2.529971514286827,1.9216220310947976,2.4829522870329535
0.047,-1.8542772141401134,-2.5880934571094696,2.0351205297085846,2.407250141540998
0.046,-1.759572488341411,-2.5680696934400205,2.041161888342168,2.2864802934392636
0.05,-1.8387887004278012,-2.6264932456658308,2.092520254869496,2.3727616912241363
0.047,-1.744430147150873,-2.6709455093485683,2.2049429104010954,2.2104327460983457
0.05,-1.7364707238989479,-2.6478686406434946,2.0386367946927697,2.345702569849673
0.05,-1.6871042768959366,-2.668509438042067,1.881724480015937,2.473889234922066
0.045,-1.7205249596613819,-2.6293110263589794,1.9219915274308257,2.427844458589535
0.045,-1.7801100071106841,-2.556344461866062,1.9169382330454756,2.4195162359312703
0.049,-1.738995454693342,-2.694881478052532,2.101402260326467,2.3324746724194068
0.048,-1.7145896334518884,-2.648313703515726,2.0189928291458052,2.3439105078218097
0.05,-1.7496483289045708,-2.733517423561117,2.047887375261323,2.4352783772043645
0.048,-1.8247292964470774,-2.6399584203755553,2.079983905147597,2.384703811675036
0.049,-1.8637784175731744,-2.671393464933324,2.2397062703913457,2.2954656121151524
0.047,-1.9031920425494544,-2.5761411887146286,2.0434402811107013,2.4358929501533817
0.044,-1.7519489058831172,-2.82931329901049,2.3393729416569506,2.2418892632366565
0.049,-1.8818307913890888,-2.5520348257264898,2.2691350333617977,2.164730583753781
0.049,-1.9720267145353514,-2.5445713629429214,2.24878124331113,2.267816834167143
0.052,-1.872380033041717,-2.707487972355015,2.371026496317878,2.2088415090788542
0.046,-1.9270790742710282,-2.5619232412674684,2.2461353916140165,2.2428669239244803
0.046,-1.9161217546203047,-2.5228077887421105,2.1860612208881367,2.2528683224742787
0.047,-2.09694296246528,-2.4031821437118634,2.246681753990778,2.2534433521863653
0.053,-1.8387775856635775,-2.5852932486861637,2.3470850962679357,2.0769857380818055
0.047,-1.9306528496031474,-2.4991560880630783,2.396615035119043,2.033193902547183
0.046,-1.9597488586523384,-2.4580209876681756,2.1977019662563606,2.220067880064154
0.048,-2.0178449220983747,-2.4954666855823793,2.4458812013316726,2.067430406349081
0.052,-2.097908022313018,-2.3832371434703914,2.432375179590014,2.0487699861933955
0.046,-1.9945058324501441,-2.4316179426565867,2.3714961314137004,2.05462764369303
0.045,-1.9519184483368652,-2.366054765335541,2.3539033781591687,1.9640698355132373
0.05,-2.0809666366327098,-2.2922282151412428,2.4008839944333014,1.9723108573406507
0.049,-1.910550934099775,-2.434001247314865,2.4654851374232805,1.8790670439913595
0.049,-2.0921181972949596,-2.331369437443174,2.548307556359255,1.8751800783788786
0.047,-1.9774397214827102,-2.3630253460892146,2.494553324465969,1.8459117431059557
0.044,-2.0618270482418573,-2.332780887119148,2.4205780144839926,1.9740299208770131
0.051,-1.9034459016267373,-2.3542278614768715,2.2557291472391774,2.0019446158644314
0.048,-1.970623996454355,-2.2639995287291734,2.4281486971021695,1.8064748280813587
0.046,-2.009706305119105,-2.2288343591133155,2.355263114435432,1.8832775497969885
0.049,-1.9426836505561098,-2.274192562577493,2.431899996236779,1.7849762168968242
0.049,-2.101843831074795,-2.075724003812615,2.4161192101641316,1.7614486247232783
0.047,-2.073497968634575,-2.15845863448452,2.38358237180038,1.8483742313187148
0.048,-2.098811201043541,-2.1578877920248467,2.3495447076881737,1.907154285380214
0.052,-2.147996421482067,-2.0107347723860873,2.488439255054899,1.6702919388132549
0.043,-2.095054543039185,-1.991800420157939,2.316771364211814,1.7700835989853103
0.052,-2.1577580757627475,-1.9903985021151058,2.4655584908870996,1.6825980869907537
0.045,-2.217915414791852,-1.9389707732771977,2.440073200799474,1.7168129872695759
0.049,-2.0411089512761365,-1.9999475886757367,2.5960987622257323,1.4449577777261409
0.047,-2.196148599815201,-1.7145732037995898,2.4304675568677854,1.4802542467470057
0.049,-2.3095314105751994,-1.7233136472666128,2.484209796094193,1.5486352617476193
0.045,-2.207117684534555,-1.5897611026775118,2.3372453623018297,1.4596334249102372
0.048,-2.240181763579728,-1.723073688044864,2.50522197557841,1.458033476046182
0.052,-2.2318819289765797,-1.7188067536964,2.6140896046191804,1.3365990780537993
0.046,-2.2217539420601833,-1.5724028171496123,2.5494703500878235,1.244686409121972
0.05,-2.231679278022582,-1.4607301381737476,2.310041551828524,1.3823678643678055
0.046,-2.307192499265976,-1.4434255415950195,2.3245153317039926,1.4261027091570027
0.049,-2.233272297453313,-1.4112891604782791,2.4021568852599304,1.2424045726716617
0.053,-2.3225990548439412,-1.3742085309212322,2.4709600992974994,1.2258474864676738
0.043,-2.3691512121749443,-1.297896961687291,2.361518794920714,1.3055293789415217
0.049,-2.4214469187271037,-1.2187030858625738,2.471898934271917,1.1682510703177604
0.049,-2.41913450496553,-1.2334820827905328,2.3736260692357494,1.2789905185203134
0.044,-2.462372505353833,-1.1514394486040356,2.405181080752,1.2086308732058684
0.052,-2.465186154132503,-1.0845102214139983,2.429553690944774,1.120142684601727
0.044,-2.572759334461733,-0.9594702062956184,2.3881856144132065,1.1440439263441449
0.05,-2.4938813389068684,-0.9003261537206038,2.396640017574917,0.9975674750525546
0.049,-2.5018005847817633,-0.864175945953744,2.4058179495262717,0.9601585812092358
0.048,-2.4383873024061313,-0.8241934790816356,2.360134131830921,0.9024466496568458
0.046,-2.623047933018655,-0.7628373721367122,2.4480152829577513,0.9378700221976155
0.05,-2.573112721235501,-0.6507088664802638,2.3259405955220616,0.8978809921937034
0.045,-2.6331901092545182,-0.7150255787964214,2.563196055076323,0.7850196329746165
0.049,-2.56806976557349,-0.5730105063963945,2.4233664666565993,0.7177138053132853
0.049,-2.7026521245521966,-0.4160651250243032,2.453432252293276,0.6652849972832237
0.051,-2.709082267362539,-0.34340788801025346,2.5048825031160837,0.5476076522567092
0.046,-2.8426681600021086,-0.08340698119076641,2.482001611040566,0.4440735301523093
0.045,-2.765709039950602,-0.1332365295058181,2.5810830561350797,0.31786251332134047
0.05,-2.847563603013144,0.02695675692380494,2.6086875073279026,0.21191933876143618
0.049,-2.8638289381117974,0.14581640289639106,2.5551005783488265,0.16291195686658003
0.047,-2.952627569796645,0.1985510323189395,2.6642286267861763,0.08984791069152927
0.047,-2.9096063074799083,0.33849456382853765,2.6964545943850187,-0.1253428507336481
0.049,-2.9319658641231365,0.37650407799732405,2.505994947389597,0.049466838736215726
0.048,-3.093014560617994,0.41161680792738425,2.756164446080043,-0.0747666933894332
0.047,-3.02321756643744,0.4111319251259341,2.7577030620030465,-0.14561742069154063
0.047,-2.95554335104863,0.4884676484793592,2.6022453700620276,-0.13516966749275705
0.047,-2.972720817524655,0.5931478495079401,2.6499350097410646,-0.2703620417243498
0.049,-3.1083747125755523,0.6635212070991674,2.6515346634750476,-0.20668115799866268
0.049,-3.0290116069693034,0.6985935246701357,2.6841375158637035,-0.3537194335645359
0.047,-2.985852221205139,0.8188156265285979,2.6759471200790275,-0.5089105254024862
0.05,-2.923668321633183,0.8763165847034081,2.5550237279982904,-0.5076719910685156
0.049,-2.8332790849911067,0.9156353630371259,2.613195099973345,-0.6955513780193638
0.045,-2.874416056286551,0.9910331758456826,2.7282100463403047,-0.8448271658994361
0.049,-2.6976347200318616,1.001095230224846,2.583341641933401,-0.8868021521263852
0.05,-2.638875874837498,1.02292176499366,2.655932174115943,-1.0399780642721044
0.046,-2.742277049531963,1.0549051494910757,2.781995859804753,-1.0946239597638654
