x,y
-0.531935,-2.745730
-0.523871,-2.775756
-0.491971,-2.813152
-0.470860,-2.845801
-0.452968,-2.880078
-0.426357,-2.933825
-0.403070,-2.982603
-0.378039,-3.025856
-0.361652,-3.069379
-0.346081,-3.118041
-0.322521,-3.156026
-0.295693,-3.196562
-0.270990,-3.238402
-0.237401,-3.283292
-0.223122,-3.325363
-0.196664,-3.371408
-0.176421,-3.414005
-0.150012,-3.456248
-0.132865,-3.492809
-0.112015,-3.523455
-0.095030,-3.550222
-0.076331,-3.576774
-0.064114,-3.604784
-0.048338,-3.635875
-0.029871,-3.656731
-0.014707,-3.681665
0.009459,-3.707938
0.024518,-3.733653
0.040226,-3.763454
0.063437,-3.791322
0.077737,-3.815566
0.086226,-3.843707
0.093556,-3.872996
0.096347,-3.904270
0.098211,-3.927969
0.101163,-3.955895
0.106536,-3.981798
0.116389,-4.004146
0.128261,-4.028802
0.130072,-4.058249
0.129589,-4.085995
0.134042,-4.109584
0.145181,-4.130539
0.151386,-4.151151
0.148284,-4.167464
0.158489,-4.180520
0.165466,-4.194314
0.156844,-4.208899
0.151703,-4.220416
0.148799,-4.230216
0.152028,-4.240197
0.153468,-4.250738
0.141432,-4.259661
0.128397,-4.269241
0.119830,-4.273741
0.106142,-4.280931
0.089400,-4.294205
0.084520,-4.295741
0.083714,-4.295284
0.086919,-4.295642
0.088905,-4.302697
0.095054,-4.309943
0.093204,-4.315742
0.072757,-4.318869
0.061738,-4.320059
0.048703,-4.317557
0.044864,-4.314822
0.036467,-4.308665
0.012199,-4.312278
-0.005884,-4.302288
-0.024033,-4.291572
-0.038598,-4.277617
-0.060645,-4.264433
-0.080384,-4.249291
-0.101683,-4.231429
-0.128835,-4.213749
-0.149849,-4.195615
-0.180594,-4.178815
-0.202432,-4.161631
-0.221232,-4.123743
-0.231757,-4.098966
-0.257257,-4.075788
-0.287377,-4.059753
-0.316583,-4.047704
-0.344701,-4.040760
-0.364721,-4.031657
-0.405318,-4.023388
-0.447751,-4.022734
-0.495917,-4.021041
-0.536076,-4.022346
-0.581982,-4.018209
-0.615862,-4.017722
-0.651892,-4.010123
-0.699937,-4.001927
-0.751036,-4.000602
-0.790057,-4.002687
-0.836502,-4.004061
-0.890879,-4.002787
-0.930821,-4.001608
-0.963891,-4.002061
-1.010683,-3.997219
-1.053292,-3.993652
-1.093390,-3.992332
-1.142565,-3.992085
-1.184072,-3.989293
-1.229991,-3.987212
-1.274868,-3.987568
-1.330359,-3.981030
-1.379238,-3.982242
-1.427326,-3.985131
-1.471688,-3.987986
-1.525305,-3.989786
-1.572538,-3.990923
-1.620269,-3.991895
-1.660801,-3.996343
-1.711799,-3.998652
-1.760285,-3.999050
-1.805842,-4.000502
-1.856809,-3.998651
-1.903693,-4.001368
-1.948654,-4.001574
-1.993898,-3.997414
-2.044145,-3.995306
-2.083311,-3.990491
-2.117112,-3.992193
-2.161722,-3.983495
-2.198949,-3.978092
-2.237974,-3.973780
-2.279805,-3.970947
-2.319867,-3.967052
-2.361445,-3.961025
-2.412172,-3.952850
-2.459955,-3.942685
-2.506045,-3.935123
-2.552259,-3.923510
-2.597328,-3.913247
-2.637587,-3.904776
-2.672485,-3.899174
-2.708642,-3.896418
-2.741049,-3.891814
-2.786028,-3.881638
-2.819844,-3.876498
-2.858807,-3.869769
-2.899046,-3.857464
-2.934563,-3.847557
-2.964937,-3.839198
-2.994671,-3.833760
-3.028907,-3.820257
-3.064891,-3.807771
-3.100231,-3.799388
-3.139145,-3.787334
-3.176023,-3.774925
-3.205881,-3.761227
-3.251521,-3.747998
-3.287401,-3.734783
-3.318596,-3.733044
-3.347939,-3.732026
-3.378401,-3.728244
-3.413434,-3.723902
-3.451492,-3.714536
-3.482008,-3.715214
-3.519011,-3.715401
-3.548810,-3.714468
-3.587731,-3.715949
-3.630766,-3.706873
-3.665035,-3.701108
-3.734180,-3.693236
-3.779111,-3.681510
-3.808124,-3.675565
-3.844535,-3.660698
-3.867811,-3.656717
-3.878718,-3.658523
-3.898107,-3.657739
-3.919324,-3.651496
-3.939886,-3.655048
-3.949583,-3.651552
-3.962325,-3.648402
-3.977594,-3.652717
-3.990333,-3.651721
-4.009869,-3.639211
-4.027594,-3.626480
-4.047738,-3.621300
-4.069127,-3.617323
-4.090833,-3.608184
-4.114643,-3.598943
-4.131211,-3.596625
-4.150971,-3.597601
-4.173900,-3.597047
-4.194164,-3.592343
-4.227641,-3.580559
-4.251654,-3.570194
-4.279071,-3.561753
-4.314583,-3.544763
-4.357158,-3.524986
-4.386944,-3.520636
-4.416826,-3.509015
-4.438555,-3.509941
-4.473161,-3.501480
-4.498813,-3.501443
-4.525061,-3.502050
-4.551405,-3.508586
-4.571687,-3.495397
-4.593216,-3.491993
-4.623125,-3.478987
-4.645915,-3.470055
-4.677136,-3.463452
-4.693633,-3.460344
-4.719066,-3.452971
-4.729039,-3.457949
-4.747320,-3.450646
-4.764187,-3.441410
-4.786881,-3.424082
-4.797154,-3.417230
-4.821079,-3.393360
-4.820808,-3.394173
-4.850234,-3.369011
-4.856651,-3.352582
-4.865079,-3.351522
-4.877265,-3.323508
-4.892377,-3.292001
-4.903690,-3.265721
-4.913353,-3.242446
-4.923080,-3.223456
-4.939913,-3.195587
-4.954195,-3.171356
-4.965261,-3.156390
-4.970915,-3.144695
-4.975170,-3.119703
-4.979731,-3.107717
-4.974590,-3.105879
-4.972854,-3.091618
-4.980047,-3.066364
-4.981321,-3.051191
-4.981609,-3.031027
-4.981435,-3.022682
-4.975227,-3.019804
-4.971768,-3.008437
-4.967407,-2.994559
-4.973163,-2.972304
-4.972277,-2.959447
-4.975129,-2.936027
-4.974577,-2.916085
-4.981894,-2.882984
-4.981522,-2.857478
-4.985726,-2.822911
-4.984740,-2.790263
-4.979824,-2.761656
-4.973176,-2.729999
-4.954531,-2.716931
-4.941269,-2.689346
-4.935628,-2.647505
-4.913874,-2.634527
-4.897359,-2.606036
-4.875875,-2.609057
-4.853075,-2.582237
-4.827648,-2.553932
-4.797415,-2.539024
-4.775556,-2.504002
-4.744564,-2.493476
-4.716379,-2.479487
-4.697452,-2.453260
-4.654380,-2.421629
-4.613798,-2.405934
-4.594571,-2.372501
-4.568396,-2.351633
-4.536310,-2.339635
-4.508084,-2.325291
-4.486683,-2.302401
-4.462569,-2.278301
-4.434898,-2.256211
-4.412534,-2.232755
-4.392383,-2.195269
-4.374087,-2.160111
-4.348488,-2.146250
-4.331482,-2.124267
-4.318241,-2.102930
-4.305841,-2.082619
-4.298971,-2.072846
-4.293523,-2.058729
-4.282182,-2.035315
-4.276853,-2.009638
-4.268134,-1.981939
-4.258800,-1.960635
-4.243800,-1.954992
-4.235138,-1.947206
-4.222353,-1.939612
-4.219274,-1.909595
-4.199652,-1.897134
-4.190820,-1.866718
-4.181693,-1.836920
-4.173071,-1.811496
-4.168665,-1.778837
-4.158800,-1.765589
-4.153736,-1.748691
-4.147245,-1.739289
-4.124773,-1.729789
-4.103726,-1.718259
-4.083863,-1.702273
-4.065988,-1.684638
-4.058871,-1.658805
-4.050905,-1.638345
-4.044895,-1.610915
-4.031363,-1.583757
-4.015889,-1.562253
-4.010940,-1.528140
-4.012423,-1.494661
-4.011248,-1.479170
-4.010754,-1.445634
-4.018346,-1.417392
-4.027185,-1.388506
-4.031247,-1.366810
-4.040578,-1.341824
-4.052094,-1.310210
-4.061034,-1.280921
-4.068344,-1.256507
-4.074629,-1.214725
-4.076334,-1.183538
-4.074132,-1.145068
-4.076479,-1.095114
-4.078499,-1.055391
-4.073728,-1.013676
-4.069549,-0.966581
-4.067094,-0.916349
-4.061203,-0.864309
-4.066957,-0.803993
-4.071449,-0.740025
-4.074460,-0.678712
-4.077439,-0.631441
-4.080336,-0.572234
-4.082617,-0.529927
-4.093183,-0.470843
-4.102475,-0.415255
-4.105841,-0.369799
-4.110919,-0.334399
-4.118285,-0.290138
-4.119945,-0.249103
-4.117986,-0.203892
-4.117679,-0.158031
-4.121521,-0.106735
-4.126914,-0.069267
-4.127294,-0.014406
-4.125017,0.040562
-4.117276,0.092560
-4.111992,0.154961
-4.109136,0.222505
-4.105704,0.282040
-4.097502,0.350777
-4.084827,0.419042
-4.072366,0.479898
-4.063129,0.547320
-4.048003,0.598735
-4.036122,0.662697
-4.029043,0.717358
-4.016571,0.767686
-4.012755,0.829774
-4.006325,0.892618
-3.990496,0.957136
-3.972472,1.013637
-3.965439,1.075650
-3.962278,1.137036
-3.956220,1.185138
-3.953065,1.240676
-3.948463,1.284781
-3.946352,1.340656
-3.944976,1.376410
-3.938798,1.425563
-3.936003,1.466394
-3.933298,1.499852
-3.925086,1.548727
-3.921922,1.602909
-3.914653,1.651653
-3.917423,1.690936
-3.916191,1.741140
-3.915275,1.793838
-3.916156,1.845675
-3.921885,1.895761
-3.926337,1.936329
-3.931307,1.980006
-3.940078,2.009937
-3.933768,2.062936
-3.936241,2.094694
-3.944474,2.122048
-3.937964,2.163328
-3.942594,2.186169
-3.942438,2.223879
-3.948221,2.252480
-3.949659,2.288275
-3.954646,2.314977
-3.953892,2.352716
-3.950917,2.395819
-3.956488,2.426070
-3.964509,2.450749
-3.973605,2.477448
-3.968621,2.524217
-3.963966,2.571313
-3.971680,2.604043
-3.974427,2.644110
-3.974395,2.688550
-3.970440,2.742095
-3.969277,2.791363
-3.969748,2.835738
-3.969624,2.882470
-3.972085,2.926681
-3.968234,2.980426
-3.969243,3.020787
-3.969101,3.065213
-3.964971,3.113659
-3.963993,3.150469
-3.965275,3.185448
-3.964201,3.228441
-3.967687,3.266704
-3.976656,3.296271
-3.981574,3.337552
-3.982253,3.369798
-3.990731,3.401869
-3.996830,3.437791
-4.000711,3.468667
-4.001922,3.505193
-4.012362,3.532405
-4.018879,3.560597
-4.020157,3.587936
-4.017694,3.618971
-4.016647,3.646036
-4.015984,3.673150
-4.017417,3.694856
-4.016898,3.723952
-4.013852,3.759403
-4.018804,3.797979
-4.027932,3.827625
-4.034563,3.860663
-4.042462,3.894266
-4.047660,3.931536
-4.058026,3.958385
-4.062932,3.985948
-4.064641,4.015468
-4.067969,4.042075
-4.067003,4.066380
-4.058334,4.087956
-4.053888,4.107068
-4.053176,4.133389
-4.056103,4.154268
-4.061046,4.172717
-4.053296,4.197171
-4.043981,4.223997
-4.041670,4.240083
-4.043209,4.253495
-4.047728,4.262370
-4.043032,4.278203
-4.028562,4.295644
-4.014408,4.310351
-4.016991,4.307049
-4.014043,4.311608
-4.007705,4.312981
-3.997244,4.317435
-3.989128,4.314723
-3.981263,4.310778
-3.971396,4.307692
-3.966607,4.318629
-3.953041,4.311243
-3.941186,4.300589
-3.925174,4.300273
-3.913391,4.299252
-3.905276,4.295355
-3.908038,4.281600
-3.903876,4.273379
-3.878936,4.252960
