[2025-09-02 17:04:28.334] [info] topic=vd/scatter, payload={"xy": [11.942026071556166, 3.321151062974421], "xz": [11.942026071556166, 2.0081343816894313]}
[2025-09-02 17:04:28.334] [info] topic=vd/scatter, payload={"xy": [11.878825524792422, 3.3524825537925778], "xz": [11.878825524792422, 2.008490346966139]}
[2025-09-02 17:04:28.334] [info] topic=vd/scatter, payload={"xy": [11.813046359528204, 3.360052122645709], "xz": [11.813046359528204, 2.0086755537627665]}
[2025-09-02 17:04:28.334] [info] topic=vd/scatter, payload={"xy": [11.736825352161436, 3.390842264788834], "xz": [11.736825352161436, 2.00875048145205]}
[2025-09-02 17:04:28.334] [info] topic=vd/scatter, payload={"xy": [11.679830413202069, 3.391233490153695], "xz": [11.679830413202069, 2.009012071082843]}
[2025-09-02 17:04:28.335] [info] topic=vd/scatter, payload={"xy": [11.623092242279673, 3.402980867553119], "xz": [11.623092242279673, 2.009422444825211]}
[2025-09-02 17:04:28.335] [info] topic=vd/scatter, payload={"xy": [11.573853344345524, 3.3928823526240675], "xz": [11.573853344345524, 2.009566662845409]}
[2025-09-02 17:04:28.335] [info] topic=vd/scatter, payload={"xy": [11.520756485517587, 3.394859591512693], "xz": [11.520756485517587, 2.0100894188128198]}
[2025-09-02 17:04:28.335] [info] topic=vd/scatter, payload={"xy": [11.460460466264681, 3.3972721479752495], "xz": [11.460460466264681, 2.0102318063292817]}
[2025-09-02 17:04:28.335] [info] topic=vd/scatter, payload={"xy": [11.416396502555292, 3.360630583786103], "xz": [11.416396502555292, 2.0102528816924328]}
[2025-09-02 17:04:28.336] [info] topic=vd/scatter, payload={"xy": [11.377539770265386, 3.3259204556551403], "xz": [11.377539770265386, 2.0104761490892002]}
[2025-09-02 17:04:28.336] [info] topic=vd/scatter, payload={"xy": [11.338803702193811, 3.2870546468108506], "xz": [11.338803702193811, 2.0107001568225678]}
[2025-09-02 17:04:28.336] [info] topic=vd/scatter, payload={"xy": [11.307214712394691, 3.217911613399127], "xz": [11.307214712394691, 2.010530249104818]}
[2025-09-02 17:04:28.336] [info] topic=vd/scatter, payload={"xy": [11.289170787875264, 3.092593661304065], "xz": [11.289170787875264, 2.0097145859873704]}
[2025-09-02 17:04:28.346] [info] topic=vd/scatter, payload={"xy": [11.264956822666287, 2.967005518620868], "xz": [11.264956822666287, 2.00879157018177]}
[2025-09-02 17:04:28.346] [info] topic=vd/scatter, payload={"xy": [11.259571206750023, 2.814660134779961], "xz": [11.259571206750023, 2.0073846058901537]}
[2025-09-02 17:04:28.347] [info] topic=vd/scatter, payload={"xy": [11.250946134401682, 2.6654760516194904], "xz": [11.250946134401682, 2.0061923701050164]}
[2025-09-02 17:04:28.347] [info] topic=vd/scatter, payload={"xy": [11.243048977967083, 2.522191466536704], "xz": [11.243048977967083, 2.0051751305000254]}
[2025-09-02 17:04:28.347] [info] topic=vd/scatter, payload={"xy": [11.233839364148903, 2.3763602212171344], "xz": [11.233839364148903, 2.0039285046059483]}
[2025-09-02 17:04:28.347] [info] topic=vd/scatter, payload={"xy": [11.22554363377503, 2.21517632124668], "xz": [11.22554363377503, 2.0025521079859336]}
[2025-09-02 17:04:28.348] [info] topic=vd/scatter, payload={"xy": [11.223233853092221, 2.042971182568554], "xz": [11.223233853092221, 2.001209591191633]}
[2025-09-02 17:04:28.348] [info] topic=vd/scatter, payload={"xy": [11.216584135054774, 1.8847601787094004], "xz": [11.216584135054774, 2.0002272673173147]}
[2025-09-02 17:04:28.348] [info] topic=vd/scatter, payload={"xy": [11.200037386747931, 1.7789123253154753], "xz": [11.200037386747931, 1.9997048866542488]}
[2025-09-02 17:04:28.348] [info] topic=vd/scatter, payload={"xy": [11.190474051551398, 1.6331075449836718], "xz": [11.190474051551398, 1.99878269218824]}
[2025-09-02 17:04:28.349] [info] topic=vd/scatter, payload={"xy": [11.156634781322174, 1.5069813100737004], "xz": [11.156634781322174, 1.9984924047963353]}
[2025-09-02 17:04:28.349] [info] topic=vd/scatter, payload={"xy": [11.135909897451926, 1.3987374131424954], "xz": [11.135909897451926, 1.9976925914356096]}
[2025-09-02 17:04:28.349] [info] topic=vd/scatter, payload={"xy": [11.10983290757757, 1.3093709877698807], "xz": [11.10983290757757, 1.9972616072917273]}
[2025-09-02 17:04:28.349] [info] topic=vd/scatter, payload={"xy": [11.087723992780983, 1.1924352785122856], "xz": [11.087723992780983, 1.9968624293767012]}
[2025-09-02 17:04:28.349] [info] topic=vd/scatter, payload={"xy": [11.057037849131678, 1.0976308706829887], "xz": [11.057037849131678, 1.9979771834074889]}
